AREA,,,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN,,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN
Year,,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020
Month,Day,HORA,,,,,,,,,,,,,,,,,
1,8,6,777,"6,323","5,077","1,789","2,669","7,348","5,084","1,026",,0.78,6.32,5.08,1.79,2.67,7.35,5.08,1.03
1,8,7,826,"6,686","5,269","1,877","2,855","7,851","5,140","1,079",,0.83,6.69,5.27,1.88,2.86,7.85,5.14,1.08
1,8,8,848,"6,884","5,403","1,892","2,940","8,158","5,206","1,161",,0.85,6.88,5.40,1.89,2.94,8.16,5.21,1.16
1,8,9,864,"7,167","5,482","1,952","3,019","8,434","5,293","1,227",,0.86,7.17,5.48,1.95,3.02,8.43,5.29,1.23
1,8,10,877,"7,283","5,493","1,970","3,024","8,510","5,349","1,273",,0.88,7.28,5.49,1.97,3.02,8.51,5.35,1.27
1,8,11,888,"7,412","5,430","2,017","3,052","8,621","5,451","1,313",,0.89,7.41,5.43,2.02,3.05,8.62,5.45,1.31
1,8,12,881,"7,493","5,492","2,049","3,050","8,711","5,512","1,311",,0.88,7.49,5.49,2.05,3.05,8.71,5.51,1.31
1,8,13,885,"7,385","5,577","2,045","2,977","8,702","5,534","1,320",,0.89,7.39,5.58,2.05,2.98,8.70,5.53,1.32
1,8,14,885,"7,339","5,542","2,038","2,974","8,617","5,568","1,335",,0.89,7.34,5.54,2.04,2.97,8.62,5.57,1.34
1,8,15,882,"7,492","5,554","2,059","2,949","8,620","5,587","1,339",,0.88,7.49,5.55,2.06,2.95,8.62,5.59,1.34
1,8,16,893,"7,470","5,564","2,072","2,954","8,661","5,582","1,338",,0.89,7.47,5.56,2.07,2.95,8.66,5.58,1.34
1,8,17,938,"7,507","5,449","2,069","2,966","8,514","5,674","1,347",,0.94,7.51,5.45,2.07,2.97,8.51,5.67,1.35
